epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.64779,0.42168,0.49719,0.88053,0.99307,1,0.995,0.95533,0.32899,0.47024,0.80084,1.667e-05,1.667e-05,1.667e-05
2,9.29721,0.36458,0.50233,0.94687,0.99515,1,0.995,0.9642,0.31689,0.43743,0.79535,4.95149e-05,4.95149e-05,4.95149e-05
3,13.8747,0.38766,0.3997,0.85851,0.9958,1,0.995,0.95831,0.30708,0.39666,0.7891,8.16997e-05,8.16997e-05,8.16997e-05
4,18.4732,0.34396,0.39558,0.93576,0.99489,1,0.995,0.94403,0.31002,0.38102,0.78697,0.000113224,0.000113224,0.000113224
5,23.064,0.38188,0.42462,0.95757,0.99431,1,0.995,0.93579,0.32889,0.40648,0.79164,0.000144089,0.000144089,0.000144089
6,27.7029,0.37498,0.44045,0.88326,0.99685,1,0.995,0.93416,0.32829,0.42357,0.79304,0.000174293,0.000174293,0.000174293
7,32.4322,0.33335,0.38079,0.8763,0.99679,1,0.995,0.93698,0.36118,0.45176,0.80597,0.000203837,0.000203837,0.000203837
8,37.1696,0.47917,0.58472,0.89437,0.9967,1,0.995,0.93163,0.3652,0.4654,0.81106,0.000232722,0.000232722,0.000232722
9,41.9355,0.65063,0.61882,1.28286,0.99697,1,0.995,0.93607,0.35476,0.46854,0.81446,0.000260946,0.000260946,0.000260946
10,46.6243,0.45033,0.43807,0.93198,0.99696,1,0.995,0.91497,0.41352,0.44884,0.84601,0.000288509,0.000288509,0.000288509
11,51.7129,0.54914,0.526,1.00016,0.9956,1,0.995,0.91661,0.45114,0.46508,0.86283,0.000315413,0.000315413,0.000315413
12,56.5857,0.45,0.44911,0.90839,0.99295,1,0.995,0.92066,0.43669,0.4592,0.85373,0.000341657,0.000341657,0.000341657
13,61.2057,0.50181,0.53382,0.88988,0.99568,1,0.995,0.93147,0.39083,0.43215,0.82788,0.00036724,0.00036724,0.00036724
14,65.7583,0.52285,0.46791,0.92529,0.99587,1,0.995,0.93779,0.35118,0.42967,0.81077,0.000392163,0.000392163,0.000392163
15,70.236,0.35099,0.44395,0.95667,0.99533,1,0.995,0.93931,0.35409,0.43167,0.81042,0.000416427,0.000416427,0.000416427
16,74.7776,0.56419,0.61641,0.87788,0.99557,1,0.995,0.92525,0.37122,0.44311,0.81531,0.00044003,0.00044003,0.00044003
17,79.315,0.47021,0.42781,0.93019,0.99361,1,0.995,0.91093,0.427,0.48402,0.83435,0.000462973,0.000462973,0.000462973
18,83.8214,0.37408,0.7717,0.96205,0.99145,1,0.995,0.90413,0.46796,0.52474,0.85267,0.000485255,0.000485255,0.000485255
19,88.7858,0.3748,0.45573,0.9139,0.99085,1,0.995,0.89891,0.46416,0.53567,0.8588,0.000506878,0.000506878,0.000506878
20,94.1601,0.40053,0.41655,0.86629,0.99587,1,0.995,0.90492,0.43508,0.52723,0.84856,0.000527841,0.000527841,0.000527841
21,99.4942,0.49423,0.47117,0.88425,0.99321,1,0.995,0.9155,0.39309,0.5159,0.83045,0.000548143,0.000548143,0.000548143
22,104.276,0.51266,0.50902,0.8833,0.98834,1,0.995,0.93856,0.36849,0.49651,0.81321,0.000567785,0.000567785,0.000567785
23,109.122,0.50027,0.58203,0.91945,0.98749,1,0.995,0.92433,0.37457,0.50089,0.81517,0.000586767,0.000586767,0.000586767
24,114.012,0.69189,0.52512,1.07119,0.99544,1,0.995,0.90872,0.39243,0.53558,0.82408,0.000605089,0.000605089,0.000605089
25,118.693,0.54847,1.28898,0.93845,0.97157,0.97771,0.995,0.9033,0.42852,0.56138,0.83365,0.000622751,0.000622751,0.000622751
26,123.375,0.57995,0.47172,1.01332,0.92858,0.95138,0.98079,0.85557,0.52806,0.6669,0.87458,0.000639753,0.000639753,0.000639753
27,128.038,0.55953,0.55009,0.94437,0.94439,0.93231,0.995,0.88674,0.53981,0.68847,0.87975,0.000656095,0.000656095,0.000656095
28,132.573,0.50379,0.46484,0.93221,0.98366,0.98391,0.995,0.89644,0.49092,0.6469,0.86337,0.000671776,0.000671776,0.000671776
29,137.106,0.53245,0.99047,0.81868,0.9922,1,0.995,0.90432,0.46152,0.54887,0.84604,0.000686797,0.000686797,0.000686797
30,141.557,0.53133,0.58632,0.89969,0.98593,1,0.995,0.90619,0.4347,0.51377,0.84085,0.000701159,0.000701159,0.000701159
31,146.015,0.62966,0.68913,0.93243,0.98408,1,0.995,0.90321,0.44297,0.51696,0.85417,0.00071486,0.00071486,0.00071486
32,150.485,0.71561,0.61266,1.06071,0.98591,1,0.995,0.90132,0.45536,0.51161,0.87207,0.000727901,0.000727901,0.000727901
33,155.07,0.49143,0.5032,0.8907,0.98935,1,0.995,0.90211,0.43973,0.47854,0.86276,0.000740281,0.000740281,0.000740281
34,159.581,0.49108,0.91864,0.97431,0.99309,1,0.995,0.90689,0.43964,0.45962,0.85751,0.000752002,0.000752002,0.000752002
35,164.047,0.57231,0.89829,1.09412,0.99346,1,0.995,0.9088,0.47099,0.45887,0.87068,0.000763063,0.000763063,0.000763063
36,168.466,0.77891,0.99483,1.08049,0.98376,1,0.995,0.87924,0.52136,0.50371,0.90619,0.000773463,0.000773463,0.000773463
37,172.863,0.53246,0.71356,1.04897,0.98376,1,0.995,0.87924,0.52136,0.50371,0.90619,0.000783203,0.000783203,0.000783203
38,177.42,0.73928,0.59041,1.226,0.99574,1,0.995,0.88962,0.47348,0.47807,0.88482,0.000792283,0.000792283,0.000792283
39,181.92,0.80919,0.58826,1.0948,0.98353,1,0.995,0.91627,0.42624,0.51051,0.8726,0.000800703,0.000800703,0.000800703
40,186.456,0.52496,0.64968,0.92792,0.98353,1,0.995,0.91627,0.42624,0.51051,0.8726,0.000808463,0.000808463,0.000808463
41,191.096,0.46298,0.5141,0.90307,0.99227,1,0.995,0.92197,0.3945,0.47733,0.84396,0.000815563,0.000815563,0.000815563
42,195.868,0.5704,0.5858,0.93703,0.99209,1,0.995,0.90168,0.45463,0.50528,0.85503,0.000822003,0.000822003,0.000822003
43,200.671,0.73334,0.73046,1.09664,0.99209,1,0.995,0.90168,0.45463,0.50528,0.85503,0.000827782,0.000827782,0.000827782
44,205.278,1.16599,0.67329,1.57396,0.99179,1,0.995,0.88262,0.4936,0.51668,0.87953,0.000832902,0.000832902,0.000832902
45,209.951,0.73225,0.52683,0.95378,0.99508,0.99214,0.995,0.8757,0.55119,0.53013,0.90929,0.000837361,0.000837361,0.000837361
46,214.803,0.73846,0.55148,1.0625,0.99508,0.99214,0.995,0.8757,0.55119,0.53013,0.90929,0.00084116,0.00084116,0.00084116
47,219.529,0.61013,0.5928,0.93871,0.98713,0.9951,0.995,0.84998,0.67569,0.61973,0.98609,0.000844299,0.000844299,0.000844299
48,224.258,0.76733,0.72232,0.97895,0.98374,1,0.995,0.85756,0.60498,0.61903,0.95075,0.000846778,0.000846778,0.000846778
49,228.944,0.52437,0.50859,0.90159,0.98374,1,0.995,0.85756,0.60498,0.61903,0.95075,0.000848596,0.000848596,0.000848596
50,233.676,0.71289,0.77363,0.99844,0.98128,1,0.995,0.88197,0.55329,0.62222,0.9012,0.000849755,0.000849755,0.000849755
51,238.325,0.65051,0.6918,1.0447,0.98549,1,0.995,0.88967,0.50433,0.57482,0.87219,0.000841835,0.000841835,0.000841835
52,242.972,0.72108,0.70702,0.97987,0.98549,1,0.995,0.88967,0.50433,0.57482,0.87219,0.000825332,0.000825332,0.000825332
53,247.748,0.5408,0.51888,1.02284,0.98207,1,0.995,0.90694,0.48308,0.55584,0.87309,0.000808828,0.000808828,0.000808828
54,252.552,0.50245,0.57225,0.98282,0.9902,1,0.995,0.89011,0.52213,0.55873,0.88917,0.000792325,0.000792325,0.000792325
55,257.039,0.72249,0.55006,0.85883,0.9902,1,0.995,0.89011,0.52213,0.55873,0.88917,0.000775822,0.000775822,0.000775822
56,261.564,0.43315,0.49647,0.91736,0.99162,1,0.995,0.87655,0.55468,0.53699,0.91209,0.000759318,0.000759318,0.000759318
57,266.203,0.53381,0.47105,0.94791,0.99377,1,0.995,0.83953,0.59296,0.5539,0.96706,0.000742815,0.000742815,0.000742815
58,270.805,0.75261,0.58393,0.98477,0.99377,1,0.995,0.83953,0.59296,0.5539,0.96706,0.000726312,0.000726312,0.000726312
59,275.522,0.58232,0.4969,0.99765,0.99461,1,0.995,0.82431,0.62061,0.55739,1.01176,0.000709809,0.000709809,0.000709809
60,280.074,0.45647,0.49417,0.9701,0.99073,1,0.995,0.86326,0.58803,0.5302,0.94229,0.000693305,0.000693305,0.000693305
61,284.574,0.57768,0.49542,0.93988,0.99073,1,0.995,0.86326,0.58803,0.5302,0.94229,0.000676802,0.000676802,0.000676802
62,289.077,0.55119,0.49419,1.01827,0.98705,1,0.995,0.86853,0.58397,0.48412,0.911,0.000660299,0.000660299,0.000660299
63,293.575,0.50338,0.51305,0.96329,0.99273,1,0.995,0.86941,0.55363,0.44213,0.89524,0.000643795,0.000643795,0.000643795
64,298.073,0.59538,0.70005,1.00847,0.99273,1,0.995,0.86941,0.55363,0.44213,0.89524,0.000627292,0.000627292,0.000627292
65,302.559,0.51065,0.49179,1.02134,0.99424,1,0.995,0.89804,0.47177,0.3955,0.86053,0.000610789,0.000610789,0.000610789
66,307.097,0.56815,0.569,1.01552,0.99389,1,0.995,0.91391,0.43664,0.38847,0.84356,0.000594286,0.000594286,0.000594286
67,311.586,0.58525,0.55683,0.89057,0.99389,1,0.995,0.91391,0.43664,0.38847,0.84356,0.000577782,0.000577782,0.000577782
