epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71179,0.38365,0.40632,0.87893,0.99361,1,0.995,0.94261,0.34817,0.37006,0.80093,1.667e-05,1.667e-05,1.667e-05
2,10.8696,0.47143,0.45533,0.99973,0.99353,1,0.995,0.94921,0.34152,0.35707,0.79908,4.95149e-05,4.95149e-05,4.95149e-05
3,15.5611,0.42034,0.37275,0.87865,0.99455,1,0.995,0.94372,0.34309,0.34903,0.80063,8.16997e-05,8.16997e-05,8.16997e-05
4,20.2501,0.42581,0.39893,0.967,0.99581,1,0.995,0.94576,0.33765,0.31888,0.79815,0.000113224,0.000113224,0.000113224
5,24.9375,0.43953,0.38688,0.98416,0.99644,1,0.995,0.96897,0.32752,0.32338,0.79636,0.000144089,0.000144089,0.000144089
6,29.5718,0.47743,0.3969,0.93603,0.99676,1,0.995,0.94209,0.33273,0.35962,0.80384,0.000174293,0.000174293,0.000174293
7,34.2064,0.37123,0.33685,0.8884,0.99708,1,0.995,0.94804,0.34364,0.36483,0.81404,0.000203837,0.000203837,0.000203837
8,38.8084,0.41093,0.42407,0.88531,0.99694,1,0.995,0.92757,0.38277,0.36803,0.83089,0.000232722,0.000232722,0.000232722
9,43.4214,0.5282,0.579,1.04983,0.99666,1,0.995,0.9222,0.40834,0.37237,0.83681,0.000260946,0.000260946,0.000260946
10,48.0464,0.47312,0.38778,0.94212,0.99616,1,0.995,0.92188,0.40683,0.37129,0.83197,0.000288509,0.000288509,0.000288509
11,52.6471,0.64036,0.51475,0.97166,0.99671,1,0.995,0.92154,0.39947,0.3797,0.83058,0.000315413,0.000315413,0.000315413
12,57.234,0.55139,0.40877,0.93956,0.99631,1,0.995,0.92024,0.40229,0.38074,0.83247,0.000341657,0.000341657,0.000341657
13,61.8014,0.49664,0.37423,0.87104,0.99588,1,0.995,0.91814,0.38963,0.39328,0.82397,0.00036724,0.00036724,0.00036724
14,66.4829,0.48207,0.37886,0.9079,0.99589,1,0.995,0.91652,0.36723,0.38613,0.81302,0.000392163,0.000392163,0.000392163
15,71.0967,0.3097,0.35593,0.93923,0.9962,1,0.995,0.94098,0.35794,0.3684,0.81004,0.000416427,0.000416427,0.000416427
16,75.7045,0.53814,0.46414,0.85934,0.99633,1,0.995,0.94525,0.35298,0.36071,0.81326,0.00044003,0.00044003,0.00044003
17,80.296,0.35464,0.35782,0.89861,0.99524,1,0.995,0.92655,0.37209,0.36095,0.82108,0.000462973,0.000462973,0.000462973
18,84.9198,0.39453,0.5093,0.96727,0.99588,1,0.995,0.92889,0.38723,0.3638,0.82563,0.000485255,0.000485255,0.000485255
19,89.5678,0.46648,0.40652,0.92917,0.99597,1,0.995,0.928,0.38813,0.37821,0.821,0.000506878,0.000506878,0.000506878
20,94.1394,0.43068,0.38359,0.87785,0.99486,1,0.995,0.93048,0.38184,0.36573,0.81828,0.000527841,0.000527841,0.000527841
21,98.7942,0.48644,0.38803,0.86175,0.99367,1,0.995,0.92381,0.37005,0.37501,0.81059,0.000548143,0.000548143,0.000548143
22,103.416,0.51104,0.45256,0.8754,0.99574,1,0.995,0.93304,0.36326,0.39001,0.80668,0.000567785,0.000567785,0.000567785
23,108.062,0.45392,0.49176,0.91289,0.9946,1,0.995,0.92661,0.3916,0.43099,0.83026,0.000586767,0.000586767,0.000586767
24,112.726,0.45066,0.4808,0.95612,0.99637,1,0.995,0.92284,0.41181,0.38825,0.85204,0.000605089,0.000605089,0.000605089
25,117.335,0.46354,0.57123,0.9065,0.99455,1,0.995,0.91517,0.44451,0.3835,0.8729,0.000622751,0.000622751,0.000622751
26,122.336,0.49784,0.40496,0.9544,0.991,1,0.995,0.89617,0.46111,0.39986,0.87087,0.000639753,0.000639753,0.000639753
27,127.691,0.42351,0.4026,0.89315,0.9921,1,0.995,0.90461,0.45507,0.40063,0.85843,0.000656095,0.000656095,0.000656095
28,132.703,0.38382,0.39351,0.88799,0.99258,1,0.995,0.90736,0.44431,0.3954,0.84955,0.000671776,0.000671776,0.000671776
29,137.496,0.47831,0.52637,0.78436,0.99112,1,0.995,0.91589,0.42231,0.39642,0.84003,0.000686797,0.000686797,0.000686797
30,142.162,0.42925,0.43254,0.88679,0.98752,1,0.995,0.92194,0.39891,0.39784,0.83516,0.000701159,0.000701159,0.000701159
31,146.834,0.52551,0.45166,0.88509,0.96754,1,0.995,0.92957,0.42574,0.43076,0.85652,0.00071486,0.00071486,0.00071486
32,151.52,0.60554,0.47402,1.01264,0.96323,0.99972,0.985,0.90744,0.43008,0.4316,0.85795,0.000727901,0.000727901,0.000727901
33,156.224,0.46088,0.46215,0.87635,0.96297,1,0.98342,0.91787,0.39393,0.43462,0.83863,0.000740281,0.000740281,0.000740281
34,160.951,0.37112,0.51661,0.91387,0.96185,1,0.98053,0.91659,0.38729,0.45337,0.82955,0.000752002,0.000752002,0.000752002
35,165.67,0.3649,0.40021,0.9807,0.95016,1,0.97605,0.91886,0.39255,0.49737,0.82425,0.000763063,0.000763063,0.000763063
36,170.412,0.699,0.65468,0.93763,0.95773,1,0.99211,0.92411,0.40823,0.45473,0.83615,0.000773463,0.000773463,0.000773463
37,175.049,0.54186,0.58359,0.99506,0.95773,1,0.99211,0.92411,0.40823,0.45473,0.83615,0.000783203,0.000783203,0.000783203
38,179.78,0.61732,0.45673,1.18947,0.99412,1,0.995,0.9212,0.43095,0.41968,0.86656,0.000792283,0.000792283,0.000792283
39,184.935,0.7582,0.5369,1.09177,0.99465,1,0.995,0.91532,0.45426,0.46521,0.88628,0.000800703,0.000800703,0.000800703
40,189.575,0.43384,0.40278,0.86876,0.99465,1,0.995,0.91532,0.45426,0.46521,0.88628,0.000808463,0.000808463,0.000808463
41,194.285,0.5319,0.44477,0.92555,0.99375,1,0.995,0.88161,0.44274,0.45802,0.87389,0.000815563,0.000815563,0.000815563
42,199.084,0.52554,0.49885,0.89793,0.95261,0.99398,0.995,0.89222,0.47048,0.5043,0.88196,0.000822003,0.000822003,0.000822003
43,203.707,0.74311,0.54747,0.94982,0.95261,0.99398,0.995,0.89222,0.47048,0.5043,0.88196,0.000827782,0.000827782,0.000827782
44,208.38,0.92447,0.95655,1.22924,0.95256,0.9756,0.98184,0.88072,0.46169,0.51354,0.87122,0.000832902,0.000832902,0.000832902
45,213.016,0.58166,0.50136,0.89637,0.99382,1,0.995,0.92619,0.42646,0.4121,0.84659,0.000837361,0.000837361,0.000837361
46,218.137,0.49929,0.43933,0.93527,0.99382,1,0.995,0.92619,0.42646,0.4121,0.84659,0.00084116,0.00084116,0.00084116
47,223.383,0.563,0.48813,0.90281,0.99619,1,0.995,0.94046,0.39585,0.38989,0.83618,0.000844299,0.000844299,0.000844299
48,228.606,0.641,0.55635,0.90002,0.995,1,0.995,0.93447,0.39536,0.37868,0.8286,0.000846778,0.000846778,0.000846778
49,233.272,0.40356,0.37768,0.84331,0.995,1,0.995,0.93447,0.39536,0.37868,0.8286,0.000848596,0.000848596,0.000848596
50,238.003,0.5899,0.47253,0.90939,0.98789,1,0.995,0.92509,0.4017,0.39873,0.8294,0.000849755,0.000849755,0.000849755
51,242.892,0.46751,0.84112,0.9172,0.96719,1,0.99368,0.89883,0.43066,0.41401,0.84523,0.000841835,0.000841835,0.000841835
52,247.982,0.57526,0.42632,0.94395,0.96719,1,0.99368,0.89883,0.43066,0.41401,0.84523,0.000825332,0.000825332,0.000825332
53,252.874,0.47712,0.48965,0.99516,0.97145,0.99521,0.99368,0.91456,0.40452,0.41484,0.82247,0.000808828,0.000808828,0.000808828
54,257.604,0.46757,0.39842,0.93122,0.92435,0.97059,0.97484,0.88217,0.45299,0.50515,0.84554,0.000792325,0.000792325,0.000792325
55,262.378,0.6444,0.45109,0.82432,0.92435,0.97059,0.97484,0.88217,0.45299,0.50515,0.84554,0.000775822,0.000775822,0.000775822
56,267.425,0.42283,0.51299,0.91064,0.95245,0.99757,0.99211,0.89523,0.45213,0.4281,0.84923,0.000759318,0.000759318,0.000759318
57,272.107,0.43737,0.42571,0.92535,0.97272,0.99968,0.995,0.9202,0.4167,0.37652,0.82988,0.000742815,0.000742815,0.000742815
58,276.749,0.55156,0.85777,0.94577,0.97272,0.99968,0.995,0.9202,0.4167,0.37652,0.82988,0.000726312,0.000726312,0.000726312
59,281.406,0.39625,0.38926,0.91116,0.99059,1,0.995,0.9437,0.36074,0.34682,0.81008,0.000709809,0.000709809,0.000709809
60,286.037,0.45584,0.41482,0.98286,0.99527,0.99069,0.995,0.93013,0.34342,0.36253,0.80848,0.000693305,0.000693305,0.000693305
61,291.028,0.43635,0.41398,0.88535,0.99527,0.99069,0.995,0.93013,0.34342,0.36253,0.80848,0.000676802,0.000676802,0.000676802
62,296.085,0.45438,0.38155,0.93979,0.99466,1,0.995,0.93611,0.33719,0.37329,0.80857,0.000660299,0.000660299,0.000660299
63,301.081,0.52427,0.58176,0.99739,0.99673,1,0.995,0.93353,0.34387,0.36849,0.81317,0.000643795,0.000643795,0.000643795
64,305.721,0.5334,1.14639,1.01023,0.99673,1,0.995,0.93353,0.34387,0.36849,0.81317,0.000627292,0.000627292,0.000627292
65,310.417,0.58588,0.46926,1.01454,0.99658,1,0.995,0.91617,0.40362,0.40998,0.83538,0.000610789,0.000610789,0.000610789
66,315.062,0.46334,0.49221,0.9819,0.96981,1,0.995,0.91815,0.44783,0.40859,0.86369,0.000594286,0.000594286,0.000594286
67,319.737,0.6116,0.43599,0.89385,0.96981,1,0.995,0.91815,0.44783,0.40859,0.86369,0.000577782,0.000577782,0.000577782
68,324.398,0.40302,0.40908,0.79405,0.99439,1,0.995,0.91227,0.39485,0.38159,0.83664,0.000561279,0.000561279,0.000561279
69,329.174,0.38043,0.55919,1.00192,0.995,1,0.995,0.93518,0.36715,0.3433,0.81802,0.000544776,0.000544776,0.000544776
70,333.837,0.40644,0.39421,0.86269,0.995,1,0.995,0.93518,0.36715,0.3433,0.81802,0.000528272,0.000528272,0.000528272
71,338.552,0.51131,0.36337,0.90842,0.99553,1,0.995,0.94668,0.34028,0.31126,0.80619,0.000511769,0.000511769,0.000511769
72,343.222,0.57142,0.44007,0.88261,0.99637,1,0.995,0.94494,0.32745,0.30433,0.79769,0.000495266,0.000495266,0.000495266
73,347.84,0.45225,0.39349,0.96181,0.99637,1,0.995,0.94494,0.32745,0.30433,0.79769,0.000478762,0.000478762,0.000478762
74,352.537,0.48883,0.37516,0.95817,0.99667,1,0.995,0.95609,0.33431,0.30475,0.79859,0.000462259,0.000462259,0.000462259
75,357.183,0.42392,0.67681,0.7991,0.99671,1,0.995,0.93901,0.36543,0.30383,0.80834,0.000445756,0.000445756,0.000445756
76,361.819,0.55999,0.43704,0.93211,0.99671,1,0.995,0.93901,0.36543,0.30383,0.80834,0.000429253,0.000429253,0.000429253
77,366.498,0.50473,0.58748,0.97058,0.99671,1,0.995,0.93846,0.37331,0.29251,0.80863,0.000412749,0.000412749,0.000412749
78,371.212,0.71883,0.4493,1.22328,0.99652,1,0.995,0.93269,0.37324,0.2955,0.80761,0.000396246,0.000396246,0.000396246
79,375.889,0.36331,0.35994,0.83529,0.99652,1,0.995,0.93269,0.37324,0.2955,0.80761,0.000379743,0.000379743,0.000379743
80,380.585,0.494,0.3972,0.95215,0.99671,1,0.995,0.93789,0.34921,0.29032,0.80072,0.000363239,0.000363239,0.000363239
81,385.303,0.53867,0.48249,0.95775,0.99685,1,0.995,0.94842,0.32086,0.27981,0.79086,0.000346736,0.000346736,0.000346736
82,389.912,0.36484,0.80883,0.95164,0.99685,1,0.995,0.94842,0.32086,0.27981,0.79086,0.000330233,0.000330233,0.000330233
83,394.653,0.35789,0.32694,0.93356,0.99698,1,0.995,0.94408,0.30588,0.27709,0.78484,0.000313729,0.000313729,0.000313729
84,399.302,0.33163,0.43288,0.87578,0.99698,1,0.995,0.9578,0.29069,0.27635,0.78057,0.000297226,0.000297226,0.000297226
85,403.971,0.58927,0.4728,0.89549,0.99698,1,0.995,0.9578,0.29069,0.27635,0.78057,0.000280723,0.000280723,0.000280723
86,408.726,0.40497,0.3923,0.82749,0.9967,1,0.995,0.96505,0.28355,0.27749,0.77992,0.00026422,0.00026422,0.00026422
87,413.371,0.49534,0.37588,0.92376,0.99665,1,0.995,0.95827,0.28704,0.27089,0.77958,0.000247716,0.000247716,0.000247716
88,418.015,0.43895,0.35597,0.94654,0.99665,1,0.995,0.95827,0.28704,0.27089,0.77958,0.000231213,0.000231213,0.000231213
89,422.7,0.37592,0.37878,0.87926,0.99648,1,0.995,0.95243,0.29347,0.26838,0.77993,0.00021471,0.00021471,0.00021471
90,427.379,0.46644,0.44009,0.90233,0.9962,1,0.995,0.95714,0.30035,0.26637,0.78154,0.000198206,0.000198206,0.000198206
91,431.949,0.35299,0.34485,0.89721,0.9962,1,0.995,0.95714,0.30035,0.26637,0.78154,0.000181703,0.000181703,0.000181703
92,436.597,0.32966,0.32015,0.78776,0.99608,1,0.995,0.96104,0.30025,0.26585,0.78179,0.0001652,0.0001652,0.0001652
93,441.386,0.42242,0.83933,0.92854,0.99594,1,0.995,0.95577,0.29916,0.26343,0.78075,0.000148696,0.000148696,0.000148696
94,446.385,0.29136,0.3044,0.81218,0.99594,1,0.995,0.95577,0.29916,0.26343,0.78075,0.000132193,0.000132193,0.000132193
95,451.018,0.3608,0.32457,0.82188,0.99612,1,0.995,0.95929,0.29437,0.26133,0.77966,0.00011569,0.00011569,0.00011569
96,455.637,0.52398,0.45896,0.83299,0.99592,1,0.995,0.95925,0.28899,0.26108,0.77881,9.91865e-05,9.91865e-05,9.91865e-05
97,460.275,0.39887,0.38465,0.90051,0.99592,1,0.995,0.95925,0.28899,0.26108,0.77881,8.26832e-05,8.26832e-05,8.26832e-05
98,464.915,0.24484,0.27861,0.77946,0.99587,1,0.995,0.96519,0.28291,0.26163,0.77749,6.61799e-05,6.61799e-05,6.61799e-05
99,469.618,0.32936,0.31123,0.76631,0.99588,1,0.995,0.96479,0.27778,0.26255,0.77693,4.96766e-05,4.96766e-05,4.96766e-05
100,474.23,0.42061,0.3058,0.84303,0.99588,1,0.995,0.96479,0.27778,0.26255,0.77693,3.31733e-05,3.31733e-05,3.31733e-05
