epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43548,0.40817,0.49076,0.88253,0.99553,1,0.995,0.95463,0.3302,0.47054,0.7971,1.667e-05,1.667e-05,1.667e-05
2,8.81663,0.41491,0.53185,0.92283,0.99616,1,0.995,0.94776,0.31671,0.45204,0.79388,4.90198e-05,4.90198e-05,4.90198e-05
3,13.2094,0.36896,0.47072,0.88379,0.99654,1,0.995,0.95249,0.32482,0.43862,0.79665,8.00493e-05,8.00493e-05,8.00493e-05
4,17.684,0.37319,0.46777,0.91351,0.99705,1,0.995,0.93196,0.3496,0.43121,0.80455,0.000109759,0.000109759,0.000109759
5,22.1037,0.36108,0.45301,0.9107,0.99702,1,0.995,0.93377,0.35864,0.44061,0.80865,0.000138148,0.000138148,0.000138148
6,26.497,0.37449,0.41842,0.90629,0.99671,1,0.995,0.93151,0.36926,0.45241,0.81524,0.000165216,0.000165216,0.000165216
7,30.929,0.35809,0.418,0.89656,0.99712,1,0.995,0.93306,0.36411,0.45161,0.809,0.000190965,0.000190965,0.000190965
8,35.3005,0.37905,0.47603,0.86421,0.99686,1,0.995,0.92759,0.37116,0.45186,0.80786,0.000215393,0.000215393,0.000215393
9,39.6439,0.37612,0.43077,0.90181,0.99682,1,0.995,0.93568,0.38825,0.46496,0.81518,0.000238501,0.000238501,0.000238501
10,44.0349,0.40737,0.42166,0.89654,0.99673,1,0.995,0.92742,0.40427,0.45593,0.82486,0.000260289,0.000260289,0.000260289
11,48.3879,0.49629,0.48084,0.95424,0.99666,1,0.995,0.92106,0.41417,0.46294,0.83212,0.000280756,0.000280756,0.000280756
12,52.7536,0.4663,0.44888,0.91612,0.99705,1,0.995,0.91905,0.41826,0.46069,0.83769,0.000299903,0.000299903,0.000299903
13,57.1573,0.40682,0.42003,0.88079,0.99675,1,0.995,0.93139,0.40595,0.4605,0.83559,0.00031773,0.00031773,0.00031773
14,61.5105,0.44977,0.45461,0.94063,0.99657,1,0.995,0.93199,0.3962,0.47136,0.82603,0.000334237,0.000334237,0.000334237
15,65.8404,0.37096,0.45905,0.9493,0.99638,1,0.995,0.91968,0.41654,0.48206,0.83096,0.000349423,0.000349423,0.000349423
16,70.2342,0.4875,0.4387,0.89788,0.9962,1,0.995,0.92354,0.41448,0.48451,0.83627,0.000363289,0.000363289,0.000363289
17,74.5994,0.39124,0.45399,0.92191,0.9957,1,0.995,0.90573,0.43994,0.49382,0.84927,0.000375835,0.000375835,0.000375835
18,78.9841,0.46607,0.46711,0.87892,0.99549,1,0.995,0.90612,0.44034,0.47558,0.84911,0.000387061,0.000387061,0.000387061
19,83.3719,0.4532,0.45422,0.89331,0.99572,1,0.995,0.91167,0.43679,0.45483,0.84505,0.000396966,0.000396966,0.000396966
20,87.7147,0.47373,0.45792,0.89074,0.99658,1,0.995,0.91537,0.42434,0.47111,0.84117,0.000405551,0.000405551,0.000405551
21,92.0344,0.47616,0.43925,0.91473,0.99714,1,0.995,0.91214,0.41675,0.47269,0.83513,0.000412816,0.000412816,0.000412816
22,96.3663,0.44517,0.44815,0.90309,0.99707,1,0.995,0.91487,0.4318,0.47353,0.83474,0.00041876,0.00041876,0.00041876
23,101.357,0.45298,0.43752,0.91515,0.99705,1,0.995,0.90364,0.45983,0.47776,0.8521,0.000423385,0.000423385,0.000423385
24,105.672,0.4759,0.46608,0.94008,0.99689,1,0.995,0.89762,0.47414,0.50921,0.86709,0.000426689,0.000426689,0.000426689
25,110.026,0.58245,0.49536,0.94847,0.9967,1,0.995,0.89572,0.5031,0.51595,0.8808,0.000428672,0.000428672,0.000428672
26,114.363,0.52476,0.45858,0.94357,0.99679,1,0.995,0.88613,0.48788,0.51395,0.87421,0.000429336,0.000429336,0.000429336
27,118.684,0.52867,0.48613,0.93826,0.99601,1,0.995,0.91803,0.40859,0.48888,0.82838,0.000428679,0.000428679,0.000428679
28,123.025,0.49283,0.50028,0.93042,0.99601,1,0.995,0.91803,0.40859,0.48888,0.82838,0.000426702,0.000426702,0.000426702
29,127.387,0.48973,0.55288,0.94166,0.99573,1,0.995,0.92611,0.35261,0.45219,0.80435,0.000423405,0.000423405,0.000423405
30,131.785,0.51508,0.48031,0.87397,0.9959,1,0.995,0.9336,0.3467,0.45836,0.80216,0.000418787,0.000418787,0.000418787
31,136.121,0.53835,0.58868,0.93151,0.9959,1,0.995,0.9336,0.3467,0.45836,0.80216,0.000412849,0.000412849,0.000412849
32,140.527,0.46089,0.49882,0.9189,0.99649,1,0.995,0.92652,0.36117,0.4465,0.80473,0.000405591,0.000405591,0.000405591
33,144.856,0.43283,0.40153,0.86534,0.99684,1,0.995,0.92102,0.35368,0.43295,0.80312,0.000397013,0.000397013,0.000397013
34,149.202,0.43334,0.46105,0.92858,0.99684,1,0.995,0.92102,0.35368,0.43295,0.80312,0.000387114,0.000387114,0.000387114
35,153.551,0.46362,0.44499,0.97748,0.99668,1,0.995,0.93227,0.34215,0.43002,0.80021,0.000375895,0.000375895,0.000375895
36,157.909,0.50422,0.51423,0.93816,0.99703,1,0.995,0.94166,0.35632,0.42295,0.80413,0.000363356,0.000363356,0.000363356
37,162.242,0.47873,0.511,0.9511,0.99703,1,0.995,0.94166,0.35632,0.42295,0.80413,0.000349497,0.000349497,0.000349497
38,166.584,0.48846,0.49126,0.92458,0.99675,1,0.995,0.94043,0.37488,0.41201,0.81103,0.000334317,0.000334317,0.000334317
39,170.918,0.53598,0.47701,0.93769,0.9961,1,0.995,0.92603,0.38299,0.40804,0.81585,0.000317817,0.000317817,0.000317817
40,175.257,0.47424,0.42355,0.88638,0.9961,1,0.995,0.92603,0.38299,0.40804,0.81585,0.000299997,0.000299997,0.000299997
41,179.575,0.39367,0.55516,0.82446,0.99571,1,0.995,0.9283,0.38023,0.40254,0.81706,0.000280856,0.000280856,0.000280856
42,183.883,0.31337,0.50088,0.83396,0.9935,1,0.995,0.92505,0.3769,0.42156,0.81469,0.000260395,0.000260395,0.000260395
43,188.138,0.40747,0.54843,0.86732,0.9935,1,0.995,0.92505,0.3769,0.42156,0.81469,0.000238614,0.000238614,0.000238614
44,192.411,0.41498,0.5759,0.83989,0.99321,1,0.995,0.93255,0.36669,0.45659,0.81233,0.000215513,0.000215513,0.000215513
45,196.686,0.3576,0.54747,0.84439,0.99321,1,0.995,0.93255,0.36669,0.45659,0.81233,0.000191092,0.000191092,0.000191092
46,200.982,0.3703,0.50481,0.8324,0.99348,1,0.995,0.94051,0.35215,0.47775,0.80855,0.00016535,0.00016535,0.00016535
47,205.241,0.34116,0.53105,0.86983,0.99348,1,0.995,0.94051,0.35215,0.47775,0.80855,0.000138288,0.000138288,0.000138288
48,209.586,0.37858,0.57168,0.88095,0.99265,1,0.995,0.95464,0.34058,0.48196,0.80481,0.000109905,0.000109905,0.000109905
49,213.863,0.38257,0.49865,0.85397,0.99265,1,0.995,0.95464,0.34058,0.48196,0.80481,8.02027e-05,8.02027e-05,8.02027e-05
50,218.126,0.36166,0.52886,0.91787,0.99262,1,0.995,0.95464,0.33215,0.47712,0.80224,4.91798e-05,4.91798e-05,4.91798e-05
